initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -14
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -23
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 9
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 5
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 7
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -10
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -7
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -16
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 0
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 9
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 5
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -5
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -11
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 1
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -10
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -10
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 7
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: -2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 2
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Quantum Cost Improvement: 3
initial_runs/4gt11_83/o/4gt11_83.o.17.0:Gate Count Improvement: 3
