initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -7
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -4
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -4
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -8
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -12
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -12
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -8
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -12
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -7
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -3
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -4
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -4
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -4
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -12
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -4
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -16
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -12
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 5
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 5
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 1
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -4
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:gate count Improvement: 0
initial_runs/gsym6/o/gsym6.o.4.0:Quantum Improvement: -12
