initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 3
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 3
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: -2
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 2
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 2
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 2
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: -15
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 1
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 3
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 3
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 10
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 2
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: -16
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 0
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 3
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 3
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 3
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 3
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 1
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 1
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: -10
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 2
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 2
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 2
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: -3
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 1
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 3
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 3
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: -3
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 1
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 2
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 2
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: -10
initial_runs/rd32_273/o/rd32_273.o.12.0:Gate Count Improvement: 2
initial_runs/rd32_273/o/rd32_273.o.12.0:Quantum Cost Improvement: 2
